القسم;الاسم;الطابق;النوع;الوصف
الرياضيات;S1;الطابق الأرضي;قاعة;قاعة دراسية قبل القاعة S6 تقع مباشرةً على يمين المدخل الرئيسي
الرياضيات;S2;الطابق الأرضي;قاعة;قاعة دراسية بين S1 و S3
الرياضيات;S3;الطابق الأرضي;قاعة;قاعة دراسية بين S2 و S4
الرياضيات;S4;الطابق الأرضي;قاعة;قاعة دراسية بين S3 و S5
الرياضيات;S5;الطابق الأرضي;قاعة;قاعة دراسية بين S4 و S6
الرياضيات;S6;الطابق الأرضي;قاعة;قاعة دراسية بين S5 وفي النهاية
الرياضيات;قاعة الطباعة;الطابق الأرضي;قاعة;قاعة للطباعة والنسخ بعد مدخل المدرج
الرياضيات;قاعة الأساتذة;الطابق الأرضي;قاعة;قاعة مخصصة للأساتذة بجانب المكاتب
الرياضيات;قاعة الخوارزمي;الطابق الأرضي;قاعة;مركز الخوارزمي بجانب مركز الخوارزمي
الرياضيات;المكتبة;الطابق الأرضي;قاعة;مكتبة بجانب مركز الخوارزمي
الرياضيات;مخبر الإعلامية;الطابق الأول;قاعة;مخبر حاسوب بجانب القاعة S25
الرياضيات;S21;الطابق الأول;قاعة;قاعة دراسية بين S22 و S20
الرياضيات;S22;الطابق الأول;قاعة;قاعة دراسية بين S21 و S23
الرياضيات;S23;الطابق الأول;قاعة;قاعة دراسية بين S22 و S24
الرياضيات;S24;الطابق الأول;قاعة;قاعة دراسية بين S23 و S25
الرياضيات;S25;الطابق الأول;قاعة;قاعة دراسية بين S24 و S26
الرياضيات;S26;الطابق الأول;قاعة;قاعة دراسية بين S25 و S27
الرياضيات;مدرج AM1;الطابق الأول;مدرج;"مدرج كبير للدروس، امضِ مباشرةً وفي نهاية الممر انعطف يسارًا، بجانب مكاتب الأساتذة، مقابل AM2"
الرياضيات;مدرج AM2;الطابق الأول;مدرج;"مدرج كبير للدروس، امضِ يسارًا وفي نهاية الممر انعطف يسارًا، بجانب مكاتب الأساتذة، مقابل AM1"
الرياضيات;ME 201;الطابق الثاني;قاعة;أول قاعة على اليسار عند الدخول
الرياضيات;ME 202;الطابق الثاني;قاعة;قاعة دراسية بين ME201 و ME203
الرياضيات;ME 203;الطابق الثاني;قاعة;قاعة دراسية بين ME202 و ME204
الرياضيات;ME 204;الطابق الثاني;قاعة;قاعة دراسية بين ME203 و ME205
الرياضيات;ME 205;الطابق الثاني;قاعة;قاعة دراسية بين ME204 و ME206
الرياضيات;ME 206;الطابق الثاني;قاعة;قاعة دراسية بين ME205 و ME207
الرياضيات;ME 207;الطابق الثاني;قاعة;قاعة دراسية بين ME206 و ME208
الرياضيات;ME 208;الطابق الثاني;قاعة;قاعة دراسية بين ME207 و ME209
الرياضيات;ME 209;الطابق الثاني;قاعة;أول قاعة على اليمين عند الدخول
الرياضيات;ME 210;الطابق الثاني;قاعة;قاعة دراسية بين ME209 و ME211
الرياضيات;ME 211;الطابق الثاني;قاعة;قاعة دراسية بين ME210 و ME212
الرياضيات;ME 212;الطابق الثاني;قاعة;قاعة دراسية بين ME211 و ME213
الرياضيات;ME 213;الطابق الثاني;قاعة;قاعة دراسية بين ME212 و ME214
الرياضيات;ME 214;الطابق الثاني;قاعة;قاعة دراسية بين ME213 و ME215
الرياضيات;ME 215;الطابق الثاني;قاعة;قاعة دراسية بين ME214 و ME216
الرياضيات;ME 216;الطابق الثاني;قاعة;قاعة دراسية بين ME215 و ME217
الرياضيات;ME 217;الطابق الثاني;قاعة;قاعة دراسية بين ME216 و ME218
الرياضيات;ME 218;الطابق الثاني;قاعة;قاعة دراسية بين ME217 و ME219
